Date,Close,Volume,Open,High,Low
10/29/2020,21.14,46183950,21.05,21.38,20.76
10/28/2020,21.18,54835940,21.23,21.48,20.8
10/27/2020,21.82,49636450,22.61,22.61,21.815
10/26/2020,22.7,34034100,22.97,23.02,22.6
10/23/2020,23.28,24558350,23.58,23.59,23.115
10/22/2020,23.25,32238260,22.66,23.32,22.61
10/21/2020,22.7,29528300,22.82,22.95,22.6
10/20/2020,22.81,34751210,22.73,23.13,22.69
10/19/2020,22.54,37423640,22.89,22.905,22.51
10/16/2020,22.86,43141250,23.01,23.23,22.61
10/15/2020,22.95,60328590,23.06,23.09,22.75
10/14/2020,23.25,75497820,24.27,24.43,23.23
10/13/2020,24.74,29939590,25.42,25.5,24.7
10/12/2020,25.68,25855590,25.2,25.74,25.15
10/09/2020,25.3,28211320,25.39,25.51,25.01
10/08/2020,25.3,26483450,24.88,25.325,24.67
10/07/2020,24.81,34647280,24.42,24.93,24.39
10/06/2020,24.18,30991250,24.68,25,24.0402
10/05/2020,24.45,22607530,24.22,24.6,24.22
10/02/2020,23.99,26238580,23.15,24.09,23.08
10/01/2020,23.56,38879810,23.57,23.81,23.16
09/30/2020,23.51,43071540,23.36,23.87,23.25
09/29/2020,23.26,38448040,23.72,23.72,23.07
09/28/2020,23.82,41103530,23.99,24.27,23.76
09/25/2020,23.64,30229940,23.12,23.71,23.01
09/24/2020,23.32,43329110,22.96,23.72,22.555
09/23/2020,22.83,45697670,23.78,24.13,22.83
09/22/2020,23.65,39839450,23.98,24.36,23.53
09/21/2020,24.04,56188350,24.45,24.521,23.72
09/18/2020,25.13,115153200,24.94,25.4,24.9
09/17/2020,25.11,51531350,25.23,25.425,24.9
09/16/2020,25.71,51783220,24.87,26,24.75
09/15/2020,24.88,41954780,24.96,25.04,24.56
09/14/2020,24.81,49787140,24.38,24.97,24.23
09/11/2020,24.27,34861090,23.92,24.32,23.71
09/10/2020,23.95,54211680,24.03,24.67,23.86
09/09/2020,23.84,49427910,24.01,24.07,23.7
09/08/2020,23.97,49082910,24.28,24.55,23.735
09/04/2020,24.79,48745000,25,25.19,24.25
09/03/2020,24.52,42349260,24.8,25.36,24.3
09/02/2020,24.57,40334000,24.01,24.66,23.93
09/01/2020,24.05,30541870,24.02,24.335,23.74
08/31/2020,24.15,27615500,24.49,24.5118,24.09
08/28/2020,24.69,25797330,24.75,24.77,24.3453
08/27/2020,24.59,36706590,23.99,24.78,23.97
08/26/2020,24.04,28348210,24.51,24.58,24.04
08/25/2020,24.61,35077310,24.74,24.89,24.3
08/24/2020,24.49,36906690,23.8,24.51,23.61
08/21/2020,23.64,27198000,23.64,23.91,23.52
08/20/2020,23.75,36022140,23.74,23.94,23.6
08/19/2020,24.07,33667840,24.01,24.39,23.84
08/18/2020,24.04,29680690,24.42,24.45,24.01
08/17/2020,24.47,36661700,25.03,25.14,24.44
08/14/2020,25.3,26743370,24.79,25.49,24.6355
08/13/2020,25.02,27387850,24.95,25.23,24.68
08/12/2020,25.19,42898640,25.98,26.14,24.72
08/11/2020,25.32,55000140,25.29,26.14,25.2
08/10/2020,24.7,50602640,25.22,25.48,24.2201
08/07/2020,25.07,46272400,24.13,25.22,24
08/06/2020,24.24,44670290,24.2,24.5,24.12
08/05/2020,24.4,33157290,24.4,24.75,24.34
08/04/2020,24.22,28106900,24.2,24.29,24.03
08/03/2020,24.29,27863660,24.25,24.5,23.9
07/31/2020,24.26,45570810,24.5,24.66,24.08
07/30/2020,24.65,51019210,25.19,25.24,24.5
07/29/2020,25.78,31442060,25.45,25.82,25
07/28/2020,25.53,30505210,25.33,25.7,25.33
07/27/2020,25.49,34761050,26.02,26.02,25.25
07/24/2020,26.26,39357030,26.47,26.85,26.2
07/23/2020,26.35,50790950,26.16,26.51,25.7
07/22/2020,26.26,41030490,26.13,26.35,25.82
07/21/2020,26.2,58455310,24.75,26.28,24.71
07/20/2020,24.57,38682160,24.72,24.88,24.4
07/17/2020,24.95,39642340,25.49,25.64,24.86
07/16/2020,25.46,48676820,24.91,26.09,24.82
07/15/2020,25.35,61714260,24.98,25.545,24.84
07/14/2020,24.25,118952600,23.92,24.39,23.33
07/13/2020,25.41,51038750,25.82,26.04,24.94
07/10/2020,25.47,56483330,24.18,25.53,24.15
07/09/2020,24.04,38118870,24.5,24.78,23.71
07/08/2020,24.55,38413380,24.44,24.78,24.07
07/07/2020,24.46,36920550,25.2,25.22,24.34
07/06/2020,25.49,46983100,25.82,26.02,24.98
07/02/2020,25.34,37013340,25.75,26.17,25.1
